Date,logreturn,t,variance_garch_t,w,mu,DF,var_garch_t_05,var_garch_t_01,var_garch_t_025,variance_garch_n,var_garch_n_05,var_garch_n_01,var_garch_n_025,var_empiric_01,var_empiric_025,var_empiric_05
12/25/2017,-0.096363396,359,0.0030657598,,0.001885,3,-0.127488492,-0.246022334,-0.172581304,0.0027042467,-0.083651542,-0.119090859,-0.100038028,-0.108355486,-0.083506926,-0.071865891
12/26/2017,0.012103048,360,0.0049720822,,0.001885,3,-0.162872506,-0.31382575,-0.220298352,0.0049283012,-0.113587036,-0.1614292,-0.135708369,-0.108355486,-0.09373753,-0.072114505
12/27/2017,0.1250058265,361,0.0036603715,,0.001885,3,-0.139478976,-0.268998692,-0.188751049,0.0034076133,-0.094133197,-0.133915264,-0.11252769,-0.108355486,-0.09373753,-0.072114505
12/28/2017,-0.02594307,362,0.0055450078,,0.001885,3,-0.172106129,-0.331519367,-0.232750338,0.0056989958,-0.122288037,-0.173735192,-0.146076252,-0.108355486,-0.09373753,-0.072114505
12/29/2017,-0.08070737,363,0.0043558362,,0.001885,3,-0.152324764,-0.293613997,-0.206074214,0.0042309582,-0.105106098,-0.149434448,-0.125602709,-0.108355486,-0.09373753,-0.072114505
12/30/2017,0.0178882702,364,0.0050650512,,0.001885,3,-0.164405704,-0.316763689,-0.222365944,0.0050485143,-0.114986868,-0.163409009,-0.137376372,-0.108355486,-0.09373753,-0.076237143
12/31/2017,-0.102371089,365,0.0037786771,,0.001885,3,-0.141745293,-0.273341445,-0.191807287,0.0035320014,-0.095869962,-0.136371603,-0.114597173,-0.108355486,-0.09373753,-0.076237143
01/01/2018,0.0694187429,366,0.0055465149,,0.001885,3,-0.172129772,-0.331564671,-0.232782221,0.0056551037,-0.12180894,-0.173057596,-0.145505373,-0.108355486,-0.096363396,-0.076756601
01/02/2018,-0.025263431,367,0.0047983109,,0.001885,3,-0.159967817,-0.308259738,-0.216381239,0.004730914,-0.111250982,-0.158125274,-0.132924789,-0.108355486,-0.096363396,-0.076756601
01/03/2018,0.0828892751,368,0.0038859692,,0.001885,3,-0.143770143,-0.277221495,-0.194537895,0.0036658364,-0.097704808,-0.138966662,-0.116783527,-0.108355486,-0.096363396,-0.076756601
01/04/2018,0.0031541204,369,0.0040169064,,0.001885,3,-0.146203724,-0.281884763,-0.197819697,0.0039029758,-0.100875509,-0.143451045,-0.120561651,-0.108355486,-0.096363396,-0.076756601
01/05/2018,0.009658303,370,0.0031465154,,0.001885,3,-0.129181337,-0.24926619,-0.174864186,0.0028863599,-0.086484772,-0.123097951,-0.10341403,-0.108355486,-0.096363396,-0.076756601
01/06/2018,0.1221506068,371,0.0025413592,,0.001885,3,-0.115905253,-0.223826345,-0.156960747,0.0022432443,-0.07602029,-0.108297835,-0.090944831,-0.108355486,-0.096363396,-0.076756601
01/07/2018,0.0084119977,372,0.0043706443,,0.001885,3,-0.152586668,-0.294115862,-0.206427404,0.0045163089,-0.108655154,-0.154453945,-0.129831669,-0.108355486,-0.096363396,-0.076756601
01/08/2018,-0.039316996,373,0.0034589603,,0.001885,3,-0.135534696,-0.261440598,-0.183431997,0.0033421724,-0.093206748,-0.13260497,-0.111423758,-0.108355486,-0.096363396,-0.076756601
01/09/2018,-0.086876581,374,0.0032633009,,0.001885,3,-0.13159149,-0.253884565,-0.178114394,0.003122333,-0.090026119,-0.128106545,-0.107633805,-0.108355486,-0.096363396,-0.076756601
01/10/2018,-0.036805381,375,0.0043094605,,0.001885,3,-0.151501649,-0.292036731,-0.204964204,0.0044161932,-0.107423086,-0.152711408,-0.12836357,-0.108355486,-0.096363396,-0.077450234
01/11/2018,0.0276248129,376,0.0038217082,,0.001885,3,-0.142560799,-0.27490413,-0.192907036,0.0037615819,-0.09899698,-0.140794206,-0.118323246,-0.108355486,-0.096363396,-0.077450234
01/12/2018,-0.128918498,377,0.0031636119,,0.001885,3,-0.129536927,-0.249947577,-0.175343716,0.0029599574,-0.08760432,-0.124681349,-0.104748054,-0.108355486,-0.096363396,-0.077450234
01/13/2018,0.04529222,378,0.0059597591,,0.001885,3,-0.17849582,-0.343763395,-0.241367144,0.0063265185,-0.128945946,-0.183151599,-0.154009639,-0.116060956,-0.101429794,-0.07876586
01/14/2018,0.0413178436,379,0.0048731232,,0.001885,3,-0.16122469,-0.310668178,-0.218076193,0.0048733149,-0.112941055,-0.160515576,-0.134938635,-0.116060956,-0.101429794,-0.07876586
01/15/2018,-0.045636976,380,0.0040471689,,0.001885,3,-0.14676051,-0.282951684,-0.198570549,0.003861121,-0.100323033,-0.142669667,-0.119903335,-0.116060956,-0.101429794,-0.07876586
01/16/2018,0.0114320525,381,0.0038137757,,0.001885,3,-0.142410813,-0.274616725,-0.192704773,0.0036036988,-0.096857155,-0.13776781,-0.115773487,-0.116060956,-0.101429794,-0.07876586
01/17/2018,-0.225712333,382,0.0031334817,,0.001885,3,-0.128909599,-0.248745482,-0.174497735,0.0028260723,-0.085557012,-0.121785802,-0.102308536,-0.116060956,-0.101429794,-0.07876586
01/18/2018,-0.005745089,383,0.0122305594,,0.001885,3,-0.25651885,-0.493272379,-0.346584962,0.0131962236,-0.187067511,-0.265354039,-0.223265756,-0.128918498,-0.102371089,-0.08070737
